축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
그래미 수상자와 함께하는 춘천 10년의 문화동행 FESTA NYCC 2022,FESTA NYCC 유튜브(온라인),2022-11-21,2022-12-02,영원한 청년작가 김유정 문화의 나라 아일랜드를 만나다,문화게릴라 향+춘천문화재단,문화게릴라 향+춘천문화재단,,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10990,공연관람,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12 춘천문화예술회관,37.87261579,127.72938000,2023-01-12,4180000,강원도 춘천시
길종갑 사창리사람들,개나리미술관,2022-11-15,2022-11-27,"질병과 참사가 모두의 마음을 얼어붙게 하는 이 시대에,모든 살아있는 존재들에 대한 수평적인 공존을 말하는 작가의 순박한 시선을 통해,각자에게 내재된 가장 순수한 본성으로 돌아가 보는 시간이 되었으면 한다.",개나리미술관,길종갑,,070-8095-3899,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10988&search_type=1&search_keyword=EAB8B8ECA285EAB091+3A+EC82ACECB0BDEBA6ACEC82ACEB9E8CEB93A4,전시관람,강원도 춘천시 동내면 거두택지길44번길 7-19,강원도 춘천시 동내면 거두리 1123-6,37.85451900,127.75821300,2023-01-12,4180000,강원도 춘천시
책 보러 가지 않을래,춘천문화예술회관 전시장,2021-05-30,2021-05-30,"소양하다, 파피루스 ,서툰책방, 첫서재 공간의 주인장들의 감성이 스며있는 책들과 굿즈를 선보인다.",강원민족미술인협회,강원도청,강원도청,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7646&search_type=1&search_keyword=ECB185+EBB3B4EB9FAC+EAB080ECA780+EC958AEC9D84EB9E983F,전시관람,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12 춘천문화예술회관,37.87261579,127.72934048,2023-01-12,4180000,강원도 춘천시
춘천마임축제 봄시즌,춘천시내 다수지역,2021-05-23,2021-05-29,2021년 우리의 잃어버린 봄을 찾기위한 무언의 몸짓으로 시민과 예술가의 봄을 찾는 공연,(사)춘천마임축제,(사)춘천마임축제+KBS방송총국+춘천MBC,문화체육관광부+강원도청+강원도 춘천시청+한국관광공사+남이섬교육문화그룹+나미나라공화국남이섬+한림대학교춘천성심병원+한국문화예술위원회+한국메세나협회,033-242-0585,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7642&search_type=1&search_keyword=ECB698ECB29CEBA788EC9E84ECB695ECA09C+EBB484EC8B9CECA68C,전시관람,강원도 춘천시 춘천로 112 축제극장몸짓,강원도 춘천시 효자동 531,37.87308900,127.72784500,2023-01-12,4180000,강원도 춘천시
춘천인형극제 코코바우 놀이터 자연아 놀러와,춘천인형극장,2021-04-24,2021-07-24,"자연의 흐름을 주제로 모두 함께 인형극, 만들기를 즐기며 자연을 느낄 수 있다.",춘천인형극제,춘천인형극제,강원도 춘천시청,033-242-8452,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7629&search_type=1&search_keyword=ECB698ECB29CEC9DB8ED9895EAB7B9ECA09C5D+ECBD94ECBD94EBB094EC9AB0+EB8680EC9DB4ED84B0+3A+EC9E90EC97B0EC9584+EB8680EB9FACEC998021,전시관람,강원도 춘천시 영서로 3017,강원도 춘천시 사농동 277-3 춘천인형극장,37.92101625,127.72019700,2023-01-12,4180000,강원도 춘천시
춘천마임축제 걷다 보는 마임,효자교~공지교,2021-04-21,2021-06-23,"일시적, 일회적 축제방식이 아닌, 소소하더라도 시민들과 깊이 있는 교감을 이뤄낼 수 있는 다양하고 지속적인 콘텐츠로 웃음을 선사하는 축제이다.",춘천마임축제,춘천마임축제,강원도 춘천시청+춘천시문화재단,033-242-0582,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7627&search_type=1&search_keyword=ECB698ECB29CEBA788EC9E84ECB695ECA09C5D+EAB1B7EB8BA4+EBB3B4EB8A94+EBA788EC9E84,행사축제,강원도 춘천시 춘천로 112 축제극장몸짓,강원도 춘천시 효자동 531,37.87308900,127.72784500,2023-01-12,4180000,강원도 춘천시
춘천마임축제 대학로 문화의 거리,강원대학교 후문거리 일대,2021-04-26,2021-05-08,"거리의 공간을 이용한 축제로, 거리전시와 중고장터, 데일리 체험프로그램을 진행한다.",춘천마임축제,춘천마임축제,강원도 춘천시청+춘천시문화재단,033-242-0582,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7626&search_type=1&search_keyword=ECB698ECB29CEBA788EC9E84ECB695ECA09C5D+EB8C80ED9599EBA19C+EBACB8ED9994EC9D98+EAB1B0EBA6AC,행사축제,강원도 춘천시 춘천로 112 축제극장몸짓,강원도 춘천시 효자동 531,37.87308900,127.72784500,2023-01-12,4180000,강원도 춘천시
제33회 춘천인형극제 국내 참가작 공모,춘천인형극장 및 춘천시 일대,2021-02-22,2021-03-21,1989년 9월 처음 개최하여 33회를 맞이하는 아시아 최대 인형극축제 춘천인형극제이다.,춘천인형극제,춘천인형극제,문화체육관광부+한국문화예술위원회+강원도청+강원도 춘천시청+춘천시문화재단+DOUZONE,033-242-8452,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7617&search_type=1&search_keyword=ECA09C33ED9A8C+ECB698ECB29CEC9DB8ED9895EAB7B9ECA09C+EAB5ADEB82B4+ECB0B8EAB080EC9E91+EAB3B5EBAAA8,행사축제,강원도 춘천시 영서로 3017,강원도 춘천시 사농동 277-3 춘천인형극장,37.92101625,127.72019700,2023-01-12,4180000,강원도 춘천시
2020 역발상전,문화공간역,2022-03-04,2022-03-24,"춘천 외 활동작가 5인 춘천 활동작가 5인이 참여하는 전시이다. 2021역발상전은 서울, 경기권을 기반으로 작업하는 작가들이 함께 참여 하였고 2022 역발상전은 충청도권을 기반으로 작업하는 작가들이 함께 참여한다. 역발상전 교류 초대 작가는 대한민국의 국공립미술관 초대작가로 활동하는 인지도 높은 작가들이 대상이며 대한민국의 미술의 위상을 춘천에 소개하고 춘천 활동 작가들의 춘천외부 활동의 기회를 마련하는 것에 일조하기 위해 기획된 전시이다. 춘천 외 활동작가 5인 춘천 활동작가 5인이 참여하는 전시이다. 2021역발상전은 서울, 경기권을 기반으로 작업하는 작가들이 함께 참여 하였고 2022 역발상전은 충청도권을 기반으로 작업하는 작가들이 함께 참여한다. 역발상전 교류 초대 작가는 대한민국의 국공립미술관 초대작가로 활동하는 인지도 높은 작가들이 대상이며 대한민국의 미술의 위상을 춘천에 소개하고 춘천 활동 작가들의 춘천외부 활동의 기회를 마련하는 것에 일조하기 위해 기획된 전시이다.",(사)민족미술인협회 춘천지부,강원도 춘천시청,민족미술인협회 강원지회,033-252-0731,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10233&search_type=1&search_keyword=2020+EC97ADEBB09CEC8381ECA084,전시관람,강원도 춘천시 영서로 2260,강원도 춘천시 퇴계동 633-2 남춘천역,37.86404439,127.72391519,2023-01-12,4180000,강원도 춘천시
만나고 싶었습니다 - 창작의 자극 그리고 예술로 환기,공간공일갤러리,2022-03-04,2022-03-16,"작가들은 각자 그동안 사회적 거리두기 상황으로 예술적 자극의 기회를 갖지 못했거나 자발적 절제로 동기부여의 활동을 할 수 없었다면 위드코로나로 전환된 지금 그 동기와 자극을 찾을 수 있는 방법을 제시하고자 한다. 언젠가는 만나 이야기하고 싶었던 동경의 대상, 작가를 만나거나, 꼭 한번 가보고 싶었던 미술관 혹은 어떤 전시 등을 가보거나, 경험하고 싶었던 나름의 활동을 경험해보거나 등등을 실현에 옮긴 후 그러한 시간과 행위와 경험에서 받은 영감이나 자극, 창의적 동기를 담아 새로운 창작물을 구상한다. 작가는 기존의 작업 스타일에서 벗어나는 방법으로 창작의 장르를, 방법을, 전시구성 등등 기존의 스타일에서 잠시 이탈해본다. 그렇게 제작된 작품을 공간공일 전시장에서 3월 4일부터 3월 16일까지 전시하게 된다. 또한 작가와의 대화 시간을 통해 관객과 소통하고 창의적 동기를 전달할 계획이다. 그렇게 관객은 전시된 작품과 소통의 시간으로 잠시나마 일상에서 닫힌 창을 열고 예술로 환기할 수 있는 기회를 가진다.",예술밭사이로+춘천문화재단,예술밭사이로,춘천문화재단+공간공일갤러리,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10234&search_type=1&search_keyword=EBA78CEB8298EAB3A0+EC8BB6EC9788EC8AB5EB8B88EB8BA4,전시관람,강원도 춘천시 향교앞길 13-4 1층,강원도 춘천시 교동 140 1층,37.87989200,127.73435900,2023-01-12,4180000,강원도 춘천시
공공미술렌탈프로젝트 춘천예술공감공공청사 미술 전시展,춘천시청 3~8층+춘천시의회 로비+춘천시립도서관 2층,2022-05-16,2022-12-16,춘천예술공감이라는 테마로 지역작가 작품 중 춘천의 이미지를 담은 작품을 44인의 작가에게 임대하여 전시한다,사회적협동조합 예술공감,강원도 춘천시청,강원도 춘천시청+춘천시의회+춘천시립도서관,,https://www.cccf.or.kr/Home/H40000/H40400/boardList?cate_id=&search_type=1&search_keyword=EAB3B5EAB3B5EBAFB8EC88A0EBA08CED8388ED9484EBA19CECA09DED8AB8+ECB698ECB29CEC9888EC88A0EAB3B5EAB09028EAB3B5EAB3B5ECB2ADEC82AC+EBAFB8EC88A0+ECA084EC8B9C29E5B195,전시관람,강원도 춘천시 시청길 11,강원도 춘천시 옥천동 111-1,37.88138790,127.72977332,2023-01-12,4180000,강원도 춘천시
제18회 강원아트페어 춘천전 자연에서 다시 태어나는 예술,춘천문화예술회관,2022-05-24,2022-05-29,아트페어는 자연에서 다시 태어나는 예술 이라는 주제로 전국 각지에서 참여하시는 18명의 다양한 작가님들의 참여로 진행,(사)한국미술협회 춘천지부,강원아트페어(GAF)운영위원회,춘천 문화예술회관,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardList?cate_id=&search_type=1&search_keyword=ECA09C18ED9A8C+EAB095EC9B90EC9584ED8AB8ED8E98EC96B4+ECB698ECB29CECA084+5BEC9E90EC97B0EC9790EC849C+EB8BA4EC8B9C+ED839CEC96B4EB8298EB8A94+EC9888EC88A05D,전시관람,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 40-12,37.87261579,127.72934048,2023-01-12,4180000,강원도 춘천시
안성환 무심 無心 -쉬어 가다,개나리미술관,2022-05-24,2022-06-05,개나리미술관에서는 5월 24일부터 6월 5일까지 안성환작가의 조각전을 개최,안성환,안성환,춘천문화재단,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10455,전시관람,강원도 춘천시 동내면 거두택지길44번길 7-19,강원도 춘천시 동내면 거두리 1123-6,37.85454653,127.75829500,2023-01-12,4180000,강원도 춘천시
2022 강원도 지역문제 발견 오픈테이블,커먼즈필드 춘천_안녕하우스,2022-05-09,2022-05-19,강원지역문제해결플랫폼은 강원도민이 제안한 지역 문제를 공공기관의 자원을 연결하여 지역주민과 함께 리빙랩 방식으로 해결하기 위해 노력하고있습니다. 2022년에도 지역 주민중심으로 지역의 문제를 제안 받는 지역문제발견 오픈테이블을 진행 중입니다. 플랫폼 과정을 통해 선정된 의제는 500~1000만원의 실험비로 지역의 문제를 해결할 수 있는 실험을 진행할 수 있습니다.,강원지역문제해결플랫폼 추진위원회,강원지역문제해결플랫폼 추진위원회,,033-252-1090,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10452&search_type=1&search_keyword=2022+EAB095EC9B90EB8F84+ECA780EC97ADEBACB8ECA09C+EBB09CEAB2AC+EC98A4ED9488ED858CEC9DB4EBB894,전시관람,강원도 춘천시 공지로 255(효자동),강원도 춘천시 효자2동 303-14,37.86462536,127.73542101,2023-01-12,4180000,강원도 춘천시
제 29회 봄내예술제 봄내미술인전_시민과 예술인의 만남,춘천미술관 전관,2022-05-13,2022-05-25,"29회 봄내예술제의 세부 행사인 시민과 작가 159명이 참여한 2022 봄내 미술인전’이 열립니다. 서양화 56점, 수채화 41점, 한국화 25점, 서예·문인화 20점, 공예·디자인 12점, 조소 5점을 소개합니다.",(사)한국미술협회 춘천지부,(사)한국예술문화단체총연합회 춘천지회,춘천문화재단,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10449,전시관람,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2 춘천예술마당,37.88237413,127.73137600,2023-01-12,4180000,강원도 춘천시
농악대축제,시민운동장,2018-10-27,2018-10-28,농악행사,농악보존회,광명시청,광명시의회,02-899-1664,,,경기도 광명시 시청로 20,경기도 광명시 철산동 222-1,37.47909912,126.8648475,2022-09-29,3900000,경기도 광명시
구름산예술제,시민체육관,2018-08-31,2018-09-02,예술 전시+부대행사,한국예술문화단체총연합회 광명지회,광명시청,광명시의회,02-2680-6871,,,경기도 광명시 오리로 703,경기도 광명시 하안동 577,37.46251993,126.8711626,2022-09-29,3900000,경기도 광명시
제7회 목감천 친환경 축제,우리공원,2019-05-25,2019-05-25,주민자치프로그램 공연+목감천 가요제 등,광명6동주민자치위원회+유관단체,목감천친환경축제위원회,,02-2680-6672,,,경기도 광명시 광명로791번길 6,경기도 광명시 광명동 786,37.4710361,126.8486332,2022-09-29,3900000,경기도 광명시
평생학습도시 선언 20주년 컨퍼런스,광명시평생학습원,2019-11-01,2019-11-01,평생학습도시 선언 20주년 컨퍼런스+전시,평생학습원,광명시청,광명시의회,02-2680-2549,,,경기도 광명시 오리로854번길 10,경기도 광명시 철산동 419,37.4743772,126.8684796,2022-09-29,3900000,경기도 광명시
2022 페스티벌 광명,철산역 8차선도로,2022-10-08,2022-10-09,문화백신 기획축제(개막프로그램+제작프로그램+시민참여프로그램+광대전 등),광명시+광명문화재단+광명문화원+한국예술문화단체총연합회 광명지회,광명시청,광명시의회,02-2680-2162,http://gm.go.kr/,,경기도 광명시 철산로 13,,37.476200,126.867700,2022-09-29,3900000,경기도 광명시
구름산예술제,시민체육관,2019-05-11,2019-05-12,예술 전시+부대행사,한국예술문화단체총연합회 광명지회,광명시청,광명시의회,02-2680-6229,,,경기도 광명시 오리로 703,경기도 광명시 하안동 577,37.4625199339,126.8711625850,2022-09-29,3900000,경기도 광명시
구름산예술제,광명문화예술교육지원센터 광명극장,2021-10-09,2021-10-10,예술 전시+부대행사,한국예술문화단체총연합회 광명지회,광명시청,광명시의회,02-2680-6229,,,경기도 광명시 철망산로 2,경기도 광명시 하안동 산 718-20,37.4667641149,126.8699007900,2022-09-29,3900000,경기도 광명시
괴산고추축제,괴산유기농엑스포광장 일원,2022-09-01,2022-09-04,고추장담그기체험 깜짝고추경매 황금고추를찾아라 속풀이고추난타 등,충청북도 괴산군청 괴산축제위원회,충청북도 괴산군청,,043-830-3463,http://spicy-fe.kr/pepper/,,충청북도 괴산군 괴산읍 임꺽정로 75,충청북도 괴산군 괴산읍 서부리 160,36.8134338,127.788528,2022-10-01,6430000,충청북도
괴산김장축제,괴산유기농엑스포광장 일원,2022-11-04,2022-11-06,명인의 김장간 괴산김장팔씨름대회 괴산배추쿠킹 김장나눔행사 등,충청북도 괴산군청 괴산축제위원회,충청북도 괴산군청,,043-830-3463,https://gimjang.kr/,,충청북도 괴산군 괴산읍 임꺽정로 75,충청북도 괴산군 괴산읍 서부리 160,36.8134338,127.788528,2022-10-01,6430000,충청북도
향수옥천포도복숭아축제,옥천종합운동장,2022-07-29,2022-07-31,과일케이크만들기 전자현악및커버댄스공연 실버마이크공연 등,충청북도 옥천군청 포도연합회+충청북도 옥천군청 군복숭아연합회,충청북도 옥천군청,,043-730-3262,https://www.oc.go.kr/grape/index.do,,충청북도 옥천군 옥천읍 관성로 53,충청북도 옥천군 옥천읍 문정리 390,36.3030708,127.575808,2022-10-01,6430000,충청북도
제천국제음악영화제,의림지 제천시 일원,2022-08-11,2022-08-16,제천영화음악아카데미 등,제천국제음악영화제 집행위원회,(사)제천국제음악영화제,,043-646-2242,http://www.jimff.org,,충청북도 제천시 의병대로12길 14-1,충청북도 제천시 명동 155-1,37.1369797,128.2065521,2022-10-01,6430000,충청북도
영동곶감축제,온라인,2022-01-05,2022-01-25,LIVE 곶감 판매행사,충청북도 영동군청 영동축제관광재단+충청북도 영동곶감연합회,충청북도 영동군청,,043-745-8916,http://www.ydfesta.com/,,충청북도 영동군 영동읍 영동황간로122,충청북도 영동군 영동읍 매천리313,36.16401625,127.7819484,2022-10-01,6430000,충청북도
중봉충렬제,옥천 관성회관 표충사,2022-09-29,2022-10-01,중봉조헌추모제향 영규대사 추모제 등,충청북도 옥천군청 옥천문화원+충청북도 옥천청년회의소 각 문화예술단체,충청북도 옥천군청 옥천문화원,,043-733-5588,http://www.okcc.or.kr/html/kr,,충청북도 옥천군 옥천읍 관성로 35,충청북도 옥천군 옥천읍 문정리 476,36.3020923,127.573129,2022-10-01,6430000,충청북도
단양소백산철쭉제,상상의거리 일원,2022-06-02,2022-06-05,소백산 철쭉을 소재로 한 축제,소백산철쭉제추진위원회 + 단양문화원,충청북도 단양군청,,043-420-2552,https://www.danyang.go.kr/sobaeksan/650,,충청북도 단양군 단양읍 중앙1로 32,충청북도 단양군 단양읍 별곡리 315,36.98555614,128.368244,2022-10-01,6430000,충청북도
단종문화제,장릉 및 영월읍 일원,2022-04-29,2022-05-01,조신시대국장재현+정순왕후선발대회+야간칡줄다리기,영월문화재단,강원도 영월군,문화체육관광부+강원도+강원랜드,033-375-6353,http://www.ywcf.com/,장릉+청령포+단종+동강둔치+국장,강원도 영월군 영월읍 단종로 24,강원도 영월군 영월읍 영흥리 961-2,37.18609549,128.4681825,2022-06-15,4270000,강원도 영월군
동강국제사진제,동강사진박물관,2022-07-22,2022-10-09,동강사진상+워크숍+사진예술전시,영월문화재단,강원도 영월군,강원도,033-375-6353,http://www.ywcf.com/,동강사진상+워크숍+사진예술전시,강원도 영월군 영월읍 영월로 1909-10,강원도 영월군 영월읍 하송리 217-2,37.18193994,128.4615511,2022-06-15,4270000,강원도 영월군
영월동강뗏목축제,동강둔치 일원,2022-07-28,2022-07-30,전통뗏목시연+맨손송어잡기+래프팅,영월문화재단,강원도 영월군,강원랜드,033-375-6353,http://www.ywcf.com/,삼굿시연+뗏목+동강둔치+래프팅+카누+물놀이,,강원도 영월군 영월읍 하송리 61-11,37.1796854699,128.4698462628,2022-06-15,4270000,강원도 영월군
2022 충청남도체육대회,충청남도 보령시 보령종합경기장 등 종목별 경기장,2022-09-29,2022-10-02,단체종목5+개인단체5+체급종목5+기록종목5+생활체육종목10,보령시체육회,충청남도체육회,충청남도+충청남도 보령시,041-936-7330,http://www.cn2022.kr/,,충청남도 보령시 남포면 보령남로 343,충청남도 보령시 남포면 창동리 636-1,36.314372,126.6055500770,2023-02-28,4510000,충청남도 보령시
제26회 보령머드축제,충청남도 보령시 대천해수욕장 일원,2023-07-21,2023-08-06,보령해양머드박람회 연계 프로그램 40여종,(재)보령축제관광재단,충청남도 보령시,문화체육관광부+한국관광공사+충청남도,041-930-0891,http://www.mudfestival.or.kr,,충청남도 보령시 대해로 897-15,충청남도 보령시 신흑동 2022,36.304497,126.517028,2023-02-28,4510000,충청남도 보령시
제6회의성슈퍼푸드마늘축제,의성종합운동장+읍내 시가지 일원 및 남대천,2023-10-06,2023-10-08,의성 특산물 마늘을 활용한 요리대회+마늘주제관 등 다채로운 프로그램 운영,의성슈퍼푸드마늘축제추진위원회,의성군축제추진위원회,경상북도+경상북도 의성군청,054-830-6578,http://www.garlicfestival.co.kr,,경상북도 의성군 의성읍 군청길 31,경상북도 의성군 의성읍 후죽리 509-2,36.35290408,128.6972464,2023-03-11,5150000,경상북도 의성군
제1회남대천벚꽃축제,남대천일원,2023-04-08,2023-04-09,버스킹+플리마켓 중심의 벚꽃축제,경상북도 의성군청,경상북도 의성군청,,054-830-6578,,,,경상북도 의성군 의성읍 후죽리 774-18,36.3492172883,128.6915823731,2023-03-11,5150000,경상북도 의성군
황룡강 가을꽃축제,황룡강변 일원,2023-10-07,2023-10-15,공연+체험+판매행사 등,전라남도 장성군축제위원회,전라남도 장성군,전라남도,061-390-7240,https://www.jangseong.go.kr/home/tour_new/festival/festival_04/festival_04_04,황룡강,,전라남도 장성군 장성읍 기산리 461-1,35.30951048,126.7815062,2023-03-09,4980000,전라남도 장성군
삼척평생학습박람회 및 책축제,문화예술회관일원,2023-10-21,2023-10-22,개막식+평생학습유공자 포상+체험 홍보부스 운영+작품전시+공연 발표+책관련 행사 등,강원도 삼척시청,강원도 삼척시청,강원도 삼척시청,033-570-4432,http://lifelong.samcheok.go.kr/main/,삼척문화예술회관 광장 일대,강원도 강원도 삼척시청 청석로3길 16-41,강원도 강원도 삼척시청 교동 736,37.44912555,129.1780308,2023-01-26,4240000,강원도 삼척시
삼척종합예술제,문화예술회관 등 4개소,2022-09-30,2022-10-08,(사)한국예총 삼척지회 산하 7개 협회 공연+전시 등 행사 추진,(사)한국예총 삼척지회,(사)한국예총 삼척지회,강원도 삼척시청,033-570-3224,,,강원도 강원도 삼척시청 엑스포로 45,강원도 강원도 삼척시청 성남동 1-5,37.43896231,129.160145,2023-01-26,4240000,강원도 삼척시
삼척민족예술제,문화예술회관일원,2022-09-26,2022-09-30,역사이야기 삼척 그.때.그.날(융복합극) 및 전시(사진+한지공예+섬유공예+인형+미술 등) 및 체험교실,(사)강원민예총 삼척지부,(사)강원민예총 삼척지부,강원도 삼척시청,033-570-3224,,,강원도 강원도 삼척시청 엑스포로 45,강원도 강원도 삼척시청 성남동 1-5,37.43896231,129.160145,2023-01-26,4240000,강원도 삼척시
구로G페스티벌,서울특별시 구로구 안양천,2022-09-23,2022-09-25,구민이 주체가 되어 자발적으로 참여하는 구로구민을 위한 비대면 축제,서울특별시 구로구청,서울특별시 구로구청,,02-860-2282,www.gfestival.co.kr,,서울특별시 구로구 가마산로 245,서울특별시 구로구 구로동 435,37.49551123,126.8882891,2023-01-01,3160000,서울특별시 구로구
해맞이행사,동촌유원지 해맞이 공원,2023-01-01,2023-01-01,"신년메시지, 무대공연 등",대구광역시 동구청,대구광역시 동구청,,053-662-2172,,,,대구광역시 동구 효목동 212-2,35.884557,128.6456995,2023-01-25,3420000,대구광역시 동구
안심창조밸리 연꽃마을 축제,안심창조밸리 일원,2023-08-12,2023-08-15,"연꽃길 힐링걷기대회, 관련 문화행사 등",안심창조밸리 주민협의체,안심창조밸리 주민협의체,,053-964-2901,,,,대구광역시 동구 괴전동 401-2,35.86954023,128.7353094,2023-01-25,3420000,대구광역시 동구
팔공산 왕건축제,동화천 생태하천 둔치,2023-09-16,2023-09-16,"왕건관련 체험프로그램, 동화천 걷기대회행사, 무대행사 등",팔공산 왕건축제추진위원회,공산동 주민자치위원회,,053-662-3981,,,,대구광역시 동구 지묘동 1220-19,35.94266974,128.6426741,2023-01-25,3420000,대구광역시 동구
용암산성 옥샘문화재,불로천 다목적광장,2023-10-10,2023-10-10,"옥천제, 사생대회, 끼페스티벌, 문화행사 등",용암산성옥샘문화제추진위원회,도평동주민자치위원회,,053-662-3801,,,대구광역시 동구 팔공로24길 171,,35.90997576,128.6501287,2023-01-25,3420000,대구광역시 동구
구민화합 어울림한마당,율하체육공원,2023-10-15,2023-10-15,"무대공연, 체육행사 등",대구광역시 동구청,대구광역시 동구청,,053-662-4073,,,대구광역시 동구 금호강변로 278,,35.85992179,128.6928366,2023-01-25,3420000,대구광역시 동구
제27회 부천국제판타스틱영화제,부천시청 일원,2023-06-29,2023-07-09,개폐막식+영화상영+문화행사 등,(사)부천국제판타스틱영화제조직위원회,(사)부천국제판타스틱영화제조직위원회,문화체육관광부+경기도청+경기도 부천시청,032-327-6313,http://www.bifan.kr,,경기도 부천시 길주로 210,경기도 부천시 중동 1156,37.50358247,126.765337,2023-01-19,3860000,경기도 부천시
울산쇠부리축제,달천철장 일원,2023-05-12,2023-05-14,체험+전시+학술,울산쇠부리축제 추진위원회,울산광역시 북구청,,052-293-3500,www.soeburi.org,,울산광역시 북구 달천철장길 58,울산광역시 북구 달천동 1-7,35.63421726,129.3289893,2023-01-19,3720000,울산광역시 북구
고창모양성제,모양성 일원,2022-09-30,2022-10-04,거리퍼레이드+답성놀이+강강술래 등,(사)모양성보존회,(사)모양성보존회,국방부+전라북도+고창군+한빛원자력,063-560-2949,http://www.gochang.go.kr/tour/,주야간 답성놀이+강강술래+공성전+전통무예시연+원님행차+축하공연 등,전라북도 고창군 고창읍 중앙로 292,전라북도 고창군 고창읍 교촌리 55-2,35.43534518,126.7066502,2023-01-20,4780000,전라북도 고창군
고창청보리밭축제,고창군 공음면 학원농장 일원,2022-05-01,2022-05-15,청보리밭사잇길걷기+주말문화행사+상설전시 및 연계행사 등,고창청보리밭축제위윈회,고창청보리밭축제위윈회,고창군+한수원(주)한빛원자력본부+농협 고창군지부,063-562-9897,http://www.gochang.go.kr/tour/,기념식+공연+판매부스 등,전라북도 고창군 공음면 학원농장길 158-6,,35.37610584,126.543619,2023-01-20,4780000,전라북도 고창군
동학농민혁명 무장기포기념제,동학농민혁명 무장기포지,2022-04-25,2022-04-25,출정식+진격로 걷기+비기탈취 및 무혈입성재연+기념식 등,동학농민혁명무장기포기념제,동학농민혁명무장기포기념제,고창군+한수원(주)한빛원자력본부,063-560-2461,http://www.gochang.go.kr/tour/,동학농민혁명무장기포기념제+무장읍성축제 등,전라북도 고창군 공음면 선운대로 308,전라북도 고창군 공음면 구암리 589-2,35.4037328,126.4955322,2023-01-20,4780000,전라북도 고창군
고창복분자와수박축제,선운산도립공원,2022-06-17,2022-06-19,기념식+복분자 수박관련 체험+농특산품판매 등,고창복분자와수박축제위원회,고창복분자와수박축제위원회,고창군+한수원(주)한빛원자력본부+농협 고창군지부,,http://www.gochang.go.kr/tour/,기념식+복분자 수박관련 체험+농특산품판매 등,전라북도 고창군 아산면 선운사로 250,전라북도 고창군 아산면 삼인리 500,35.49769748,126.5795174,2023-01-20,4780000,전라북도 고창군
고창갯벌축제,만돌갯벌체험장+하전갯벌체험장,2022-08-05,2022-08-07,개막행사+갯벌체험+동죽시식회+동죽음식문화체험+갯벌체험+장어숭어잡기+갯벌카페+부대행사 등,고창갯벌축제위원회,고창갯벌축제위원회,해양수산부+전라북도+고창군+고창군수산업협동조합+만월어촌계+하전어촌계+자율관리공동체+한빛원전,063-560-2633,http://www.gochang.go.kr/tour/,동호해수욕장,전라북도 고창군 심원면 애향갯벌로 320,,35.53007446,126.5150432,2023-01-20,4780000,전라북도 고창군
광주 프린지 페스티벌 송정역,광주광역시 광산구 송정역&송정시작1913,2021-09-18,2021-09-18,"예술작품, 체험, 플리마켓, 야외공연",광주문화재단,광주광역시,,062-670-7983,http://www.fringefestival.kr,,광주광역시 광산구 상무대로 201,광주광역시 광산구 송정동 1003-1,35.13721225,126.790662,2022-01-01,6290000,광주광역시
광주프린지페스티벌 광주기아챔피언스 필드,광주광역시 북구 광주기아챔피언스필드,2021-08-21,2021-08-27,문화로 찾아가는 우리 동네 희망예술가+각 회차별 다양한 공연+체험활동 및 플리마켓 진행,광주문화재단,광주광역시,,062-670-7967,http://www.fringefestival.kr/default/index.php,,광주광역시 북구 서림로 10,,35.16942496,126.8888055,2022-01-01,6290000,광주광역시
광주프린지페스티벌 비엔날레 광장,광주광역시 북구 비엔날레전시관 광장,2021-09-04,2021-09-10,문화로 찾아가는 우리 동네 희망예술가+각 회차별 다양한 공연+체험활동 및 플리마켓 진행,광주문화재단,광주광역시,,062-670-7967,http://www.fringefestival.kr/default/index.php,,광주광역시 북구 비엔날레로 111,,35.18309828,126.8892087,2022-01-01,6290000,광주광역시
